IL_DepartureDate,DepartYear,DepartMonth,Day_of_Week_Departure,TotalDep,LegNumber,IL_DepartureStation,IL_ArrivalStation,InternationalDesc,LiftStatus,FlyThru,IsNTL,DepartureCountry,ArrivalCountry
01-31-25,2025,January,5,100,A0108,SIN,KUL,INT,Boarded,Yes,No,Singapore,Malaysia
10-05-25,2025,October,7,161,A0397,KUL,PEN,DOM,Default,No,No,Malaysia,Malaysia
10-14-25,2025,October,2,128,A0276,LHR,PEN,INT,NoShow,Yes,No,Thailand,Malaysia
01-18-25,2025,January,6,95,A0079,SIN,LHR,INT,NoShow,No,No,Singapore,Thailand
04-20-25,2025,April,7,106,A0474,BKK,BKI,INT,Default,No,No,Thailand,Malaysia
01-07-25,2025,January,2,40,A0379,LHR,BKK,INT,CheckedIn,Yes,No,Thailand,Thailand
02-01-25,2025,February,6,124,A0270,KUL,SYD,INT,Boarded,Yes,No,Malaysia,Philippines
05-17-25,2025,May,6,189,A0445,KUL,CGK,INT,Default,No,No,Malaysia,Indonesia
04-26-26,2026,April,7,210,A0227,SIN,LHR,INT,Default,No,No,Singapore,Thailand
05-24-26,2026,May,7,117,A0426,KUL,SYD,INT,CheckedIn,No,No,Malaysia,Philippines
11-22-25,2025,November,6,36,A0364,KUL,SIN,INT,Default,No,No,Malaysia,Singapore
06-21-26,2026,June,7,56,A0225,JFK,CGK,INT,CheckedIn,No,Yes,Indonesia,Indonesia
09-18-25,2025,September,4,230,A0011,KUL,JFK,INT,Default,No,No,Malaysia,Indonesia
03-15-26,2026,March,7,96,A0270,KUL,SYD,INT,Default,Yes,No,Malaysia,Philippines
10-06-25,2025,October,1,157,A0105,SIN,SYD,INT,Default,Yes,No,Singapore,Philippines
04-29-26,2026,April,3,220,A0184,JFK,PEN,INT,NoShow,Yes,No,Indonesia,Malaysia
05-24-26,2026,May,7,118,A0237,BKI,KUL,DOM,Default,Yes,No,Malaysia,Malaysia
05-09-25,2025,May,5,98,A0397,KUL,PEN,DOM,NoShow,No,No,Malaysia,Malaysia
09-23-25,2025,September,2,226,A0187,LHR,SYD,INT,CheckedIn,No,No,Thailand,Philippines
03-19-26,2026,March,4,84,A0385,BKK,CGK,INT,CheckedIn,Yes,No,Thailand,Indonesia
04-12-26,2026,April,7,147,A0134,LHR,PEN,INT,CheckedIn,No,No,Thailand,Malaysia
07-02-25,2025,July,3,1,A0263,BKI,CGK,INT,NoShow,Yes,No,Malaysia,Indonesia
01-09-26,2026,January,5,40,A0320,BKK,KUL,INT,CheckedIn,No,No,Thailand,Malaysia
02-27-26,2026,February,5,150,A0344,BKI,JFK,INT,CheckedIn,No,No,Malaysia,Indonesia
05-14-25,2025,May,3,102,A0101,BKK,PEN,INT,Default,Yes,No,Thailand,Malaysia
01-14-26,2026,January,3,165,A0196,HND,BKI,INT,CheckedIn,Yes,Yes,Japan,Malaysia
03-12-26,2026,March,4,6,A0234,CGK,SIN,INT,Boarded,Yes,No,Indonesia,Singapore
09-09-25,2025,September,2,153,A0485,PEN,BKI,DOM,Default,No,No,Malaysia,Malaysia
03-28-25,2025,March,5,206,A0328,CGK,PEN,INT,NoShow,Yes,Yes,Indonesia,Malaysia
05-30-25,2025,May,5,18,A0289,LHR,CGK,INT,Default,Yes,No,Thailand,Indonesia
06-11-25,2025,June,3,70,A0485,PEN,BKI,DOM,Boarded,No,No,Malaysia,Malaysia
06-14-26,2026,June,7,12,A0498,SYD,PEN,INT,CheckedIn,Yes,No,Philippines,Malaysia
06-11-25,2025,June,3,162,A0411,BKK,KUL,INT,CheckedIn,No,No,Thailand,Malaysia
03-06-25,2025,March,4,24,A0079,SIN,LHR,INT,Boarded,No,No,Singapore,Thailand
06-28-26,2026,June,7,5,A0229,LHR,PEN,INT,NoShow,No,Yes,Thailand,Malaysia
12-13-25,2025,December,6,191,A0410,PEN,SIN,INT,Default,No,No,Malaysia,Singapore
02-23-25,2025,February,7,124,A0407,HND,JFK,INT,Boarded,No,No,Japan,Indonesia
11-27-25,2025,November,4,120,A0072,BKK,LHR,INT,Default,No,No,Thailand,Thailand
09-05-25,2025,September,5,81,A0123,LHR,SYD,INT,CheckedIn,No,No,Thailand,Philippines
05-29-26,2026,May,5,231,A0086,SYD,CGK,INT,NoShow,No,No,Philippines,Indonesia
12-06-25,2025,December,6,173,A0409,CGK,BKK,INT,Default,No,No,Indonesia,Thailand
08-21-25,2025,August,4,53,A0265,BKK,CGK,INT,Boarded,Yes,No,Thailand,Indonesia
04-13-26,2026,April,1,48,A0287,KUL,JFK,INT,NoShow,No,No,Malaysia,Indonesia
01-14-26,2026,January,3,113,A0454,HND,LHR,INT,NoShow,No,No,Japan,Thailand
01-04-25,2025,January,6,122,A0377,KUL,SYD,INT,Default,No,No,Malaysia,Philippines
12-23-25,2025,December,2,29,A0239,BKI,SYD,INT,Default,No,No,Malaysia,Philippines
06-11-26,2026,June,4,82,A0404,LHR,BKI,INT,CheckedIn,No,No,Thailand,Malaysia
10-16-25,2025,October,4,146,A0025,PEN,SIN,INT,NoShow,No,Yes,Malaysia,Singapore
06-05-25,2025,June,4,190,A0007,LHR,KUL,INT,Boarded,Yes,No,Thailand,Malaysia
07-28-25,2025,July,1,100,A0233,HND,JFK,INT,Boarded,Yes,No,Japan,Indonesia
12-25-25,2025,December,4,144,A0350,HND,CGK,INT,CheckedIn,Yes,No,Japan,Indonesia
11-01-25,2025,November,6,152,A0289,LHR,CGK,INT,CheckedIn,Yes,No,Thailand,Indonesia
04-03-26,2026,April,5,159,A0078,PEN,BKK,INT,Default,No,No,Malaysia,Thailand
03-30-26,2026,March,1,233,A0286,CGK,HND,INT,Default,Yes,No,Indonesia,Japan
09-06-25,2025,September,6,11,A0422,CGK,PEN,INT,Default,No,No,Indonesia,Malaysia
05-26-26,2026,May,2,65,A0496,SIN,CGK,INT,Default,Yes,No,Singapore,Indonesia
10-25-25,2025,October,6,133,A0392,LHR,JFK,INT,NoShow,No,No,Thailand,Indonesia
08-04-25,2025,August,1,146,A0487,PEN,SYD,INT,Boarded,No,No,Malaysia,Philippines
01-01-26,2026,January,4,131,A0175,LHR,HND,INT,CheckedIn,No,No,Thailand,Japan
03-12-26,2026,March,4,76,A0163,BKK,SIN,INT,Default,No,No,Thailand,Singapore
02-19-25,2025,February,3,102,A0029,BKI,HND,INT,Default,No,No,Malaysia,Japan
11-28-25,2025,November,5,148,A0058,PEN,SYD,INT,Boarded,No,No,Malaysia,Philippines
02-22-25,2025,February,6,154,A0447,BKK,BKI,INT,Boarded,Yes,Yes,Thailand,Malaysia
03-20-25,2025,March,4,15,A0238,KUL,SIN,INT,CheckedIn,Yes,No,Malaysia,Singapore
03-27-25,2025,March,4,18,A0017,LHR,JFK,INT,CheckedIn,No,No,Thailand,Indonesia
09-13-25,2025,September,6,126,A0291,BKK,SIN,INT,NoShow,Yes,No,Thailand,Singapore
07-27-25,2025,July,7,169,A0296,SYD,LHR,INT,NoShow,No,No,Philippines,Thailand
06-12-26,2026,June,5,157,A0041,CGK,SYD,INT,Default,No,No,Indonesia,Philippines
10-01-25,2025,October,3,15,A0478,SYD,SIN,INT,NoShow,No,No,Philippines,Singapore
04-25-25,2025,April,5,86,A0022,JFK,LHR,INT,Boarded,No,No,Indonesia,Thailand
01-30-25,2025,January,4,40,A0111,SYD,BKK,INT,NoShow,No,No,Philippines,Thailand
02-10-26,2026,February,2,109,A0095,BKI,CGK,INT,Boarded,No,No,Malaysia,Indonesia
10-30-25,2025,October,4,116,A0358,LHR,KUL,INT,Boarded,No,No,Thailand,Malaysia
10-10-25,2025,October,5,60,A0180,PEN,SIN,INT,Boarded,No,No,Malaysia,Singapore
02-05-25,2025,February,3,90,A0087,JFK,BKI,INT,Boarded,No,No,Indonesia,Malaysia
05-10-25,2025,May,6,45,A0467,PEN,BKK,INT,CheckedIn,No,No,Malaysia,Thailand
08-14-25,2025,August,4,212,A0496,SIN,CGK,INT,NoShow,No,No,Singapore,Indonesia
12-20-25,2025,December,6,112,A0339,KUL,LHR,INT,Default,Yes,Yes,Malaysia,Thailand
10-10-25,2025,October,5,126,A0351,PEN,BKI,DOM,Boarded,No,No,Malaysia,Malaysia
09-24-25,2025,September,3,164,A0184,JFK,PEN,INT,Boarded,No,No,Indonesia,Malaysia
02-17-26,2026,February,2,182,A0269,PEN,BKI,DOM,CheckedIn,No,No,Malaysia,Malaysia
01-23-25,2025,January,4,144,A0374,SYD,KUL,INT,Boarded,No,No,Philippines,Malaysia
06-06-26,2026,June,6,83,A0177,BKI,PEN,DOM,CheckedIn,No,No,Malaysia,Malaysia
06-14-25,2025,June,6,5,A0011,KUL,JFK,INT,CheckedIn,No,No,Malaysia,Indonesia
05-27-26,2026,May,3,62,A0111,SYD,BKK,INT,Default,No,No,Philippines,Thailand
07-27-25,2025,July,7,148,A0355,LHR,SYD,INT,Boarded,Yes,Yes,Thailand,Philippines
03-07-26,2026,March,6,183,A0134,LHR,PEN,INT,Default,Yes,No,Thailand,Malaysia
05-13-25,2025,May,2,31,A0497,JFK,HND,INT,Default,No,Yes,Indonesia,Japan
09-08-25,2025,September,1,48,A0213,SYD,KUL,INT,NoShow,No,No,Philippines,Malaysia
05-03-26,2026,May,7,50,A0148,HND,PEN,INT,CheckedIn,No,No,Japan,Malaysia
06-06-26,2026,June,6,55,A0211,LHR,HND,INT,NoShow,Yes,No,Thailand,Japan
03-28-26,2026,March,6,219,A0366,SIN,HND,INT,Default,No,No,Singapore,Japan
01-01-25,2025,January,3,170,A0088,BKI,HND,INT,CheckedIn,No,No,Malaysia,Japan
06-28-26,2026,June,7,41,A0275,JFK,KUL,INT,Default,Yes,No,Indonesia,Malaysia
04-22-26,2026,April,3,65,A0041,CGK,SYD,INT,Default,No,No,Indonesia,Philippines
07-26-25,2025,July,6,118,A0080,BKI,SYD,INT,Boarded,Yes,No,Malaysia,Philippines
03-09-25,2025,March,7,3,A0324,SIN,JFK,INT,Default,No,No,Singapore,Indonesia
01-28-25,2025,January,2,232,A0112,SYD,SIN,INT,CheckedIn,No,No,Philippines,Singapore
06-09-25,2025,June,1,15,A0361,PEN,BKI,DOM,Boarded,No,No,Malaysia,Malaysia
03-14-25,2025,March,5,137,A0029,BKI,HND,INT,NoShow,No,No,Malaysia,Japan
05-12-25,2025,May,1,0,A0125,PEN,BKI,DOM,Boarded,No,No,Malaysia,Malaysia
07-23-25,2025,July,3,49,A0242,SIN,BKI,INT,CheckedIn,No,No,Singapore,Malaysia
07-10-25,2025,July,4,31,A0200,SYD,BKK,INT,Default,Yes,No,Philippines,Thailand
03-07-25,2025,March,5,72,A0012,BKI,LHR,INT,Default,No,No,Malaysia,Thailand
12-08-25,2025,December,1,115,A0331,SIN,BKI,INT,NoShow,Yes,No,Singapore,Malaysia
07-20-25,2025,July,7,125,A0043,LHR,PEN,INT,Boarded,No,No,Thailand,Malaysia
02-09-26,2026,February,1,183,A0387,JFK,KUL,INT,CheckedIn,No,No,Indonesia,Malaysia
06-19-26,2026,June,5,76,A0349,BKK,SIN,INT,Default,No,No,Thailand,Singapore
02-13-25,2025,February,4,126,A0077,HND,KUL,INT,Default,No,No,Japan,Malaysia
06-22-26,2026,June,1,63,A0326,SYD,HND,INT,Boarded,No,No,Philippines,Japan
05-17-26,2026,May,7,196,A0302,BKI,PEN,DOM,CheckedIn,Yes,No,Malaysia,Malaysia
04-16-26,2026,April,4,9,A0365,PEN,HND,INT,CheckedIn,Yes,No,Malaysia,Japan
12-01-25,2025,December,1,153,A0145,BKI,HND,INT,Default,No,No,Malaysia,Japan
03-10-25,2025,March,1,49,A0231,SYD,BKK,INT,Default,No,No,Philippines,Thailand
10-26-25,2025,October,7,12,A0080,BKI,SYD,INT,NoShow,No,No,Malaysia,Philippines
05-20-26,2026,May,3,219,A0191,LHR,SYD,INT,Boarded,No,No,Thailand,Philippines
04-28-26,2026,April,2,200,A0206,SIN,PEN,INT,Default,No,No,Singapore,Malaysia
11-16-25,2025,November,7,76,A0321,SYD,BKK,INT,CheckedIn,No,Yes,Philippines,Thailand
02-21-25,2025,February,5,36,A0176,BKI,LHR,INT,CheckedIn,No,No,Malaysia,Thailand
04-14-25,2025,April,1,50,A0340,CGK,PEN,INT,NoShow,No,No,Indonesia,Malaysia
04-25-26,2026,April,6,114,A0208,PEN,SYD,INT,Boarded,Yes,No,Malaysia,Philippines
07-20-25,2025,July,7,50,A0036,PEN,HND,INT,Boarded,No,No,Malaysia,Japan
08-08-25,2025,August,5,23,A0142,KUL,BKK,INT,Boarded,Yes,No,Malaysia,Thailand
01-03-26,2026,January,6,30,A0487,PEN,SYD,INT,Boarded,Yes,No,Malaysia,Philippines
03-29-26,2026,March,7,83,A0305,KUL,PEN,DOM,Boarded,Yes,No,Malaysia,Malaysia
12-08-25,2025,December,1,208,A0374,SYD,KUL,INT,Boarded,No,No,Philippines,Malaysia
01-07-25,2025,January,2,191,A0105,SIN,SYD,INT,Boarded,No,No,Singapore,Philippines
11-14-25,2025,November,5,124,A0043,LHR,PEN,INT,Default,No,No,Thailand,Malaysia
10-05-25,2025,October,7,158,A0268,BKI,BKK,INT,CheckedIn,No,No,Malaysia,Thailand
04-06-25,2025,April,7,146,A0261,KUL,JFK,INT,Boarded,No,No,Malaysia,Indonesia
03-31-26,2026,March,2,157,A0479,HND,CGK,INT,CheckedIn,No,No,Japan,Indonesia
10-20-25,2025,October,1,119,A0226,JFK,CGK,INT,Boarded,No,No,Indonesia,Indonesia
02-23-25,2025,February,7,182,A0228,JFK,SYD,INT,Default,Yes,No,Indonesia,Philippines
07-04-25,2025,July,5,15,A0295,PEN,CGK,INT,NoShow,No,No,Malaysia,Indonesia
10-25-25,2025,October,6,142,A0393,PEN,SYD,INT,Boarded,No,No,Malaysia,Philippines
01-19-26,2026,January,1,65,A0064,SIN,JFK,INT,Boarded,No,No,Singapore,Indonesia
06-11-25,2025,June,3,157,A0190,BKK,CGK,INT,NoShow,No,No,Thailand,Indonesia
02-21-25,2025,February,5,34,A0251,HND,JFK,INT,Default,No,No,Japan,Indonesia
05-31-25,2025,May,6,113,A0140,KUL,LHR,INT,CheckedIn,Yes,No,Malaysia,Thailand
01-20-26,2026,January,2,165,A0360,SIN,BKI,INT,Boarded,No,No,Singapore,Malaysia
09-08-25,2025,September,1,71,A0333,HND,SIN,INT,CheckedIn,No,No,Japan,Singapore
04-04-26,2026,April,6,98,A0063,JFK,BKK,INT,Default,Yes,No,Indonesia,Thailand
05-01-25,2025,May,4,181,A0205,LHR,BKK,INT,Default,Yes,No,Thailand,Thailand
02-01-25,2025,February,6,9,A0220,PEN,HND,INT,CheckedIn,No,No,Malaysia,Japan
12-15-25,2025,December,1,150,A0115,SYD,KUL,INT,Default,No,No,Philippines,Malaysia
11-20-25,2025,November,4,145,A0072,BKK,LHR,INT,NoShow,Yes,No,Thailand,Thailand
01-21-25,2025,January,2,97,A0158,LHR,CGK,INT,NoShow,No,No,Thailand,Indonesia
02-09-25,2025,February,7,155,A0129,HND,BKK,INT,NoShow,No,No,Japan,Thailand
01-17-25,2025,January,5,21,A0242,SIN,BKI,INT,Default,No,No,Singapore,Malaysia
03-16-26,2026,March,1,119,A0374,SYD,KUL,INT,Boarded,No,No,Philippines,Malaysia
02-12-25,2025,February,3,112,A0376,HND,PEN,INT,NoShow,Yes,No,Japan,Malaysia
03-31-26,2026,March,2,147,A0242,SIN,BKI,INT,Default,No,No,Singapore,Malaysia
08-15-25,2025,August,5,40,A0087,JFK,BKI,INT,CheckedIn,No,Yes,Indonesia,Malaysia
06-26-26,2026,June,5,108,A0031,SYD,HND,INT,CheckedIn,No,No,Philippines,Japan
01-24-26,2026,January,6,201,A0126,PEN,CGK,INT,Boarded,No,No,Malaysia,Indonesia
01-02-26,2026,January,5,84,A0482,JFK,KUL,INT,NoShow,No,No,Indonesia,Malaysia
10-04-25,2025,October,6,115,A0121,JFK,SIN,INT,NoShow,No,No,Indonesia,Singapore
10-08-25,2025,October,3,104,A0339,KUL,LHR,INT,CheckedIn,No,No,Malaysia,Thailand
10-23-25,2025,October,4,118,A0147,SIN,SYD,INT,Default,No,No,Singapore,Philippines
06-21-25,2025,June,6,128,A0422,CGK,PEN,INT,CheckedIn,Yes,No,Indonesia,Malaysia
04-10-25,2025,April,4,63,A0175,LHR,HND,INT,CheckedIn,No,No,Thailand,Japan
04-10-25,2025,April,4,179,A0169,SIN,BKI,INT,Default,No,No,Singapore,Malaysia
06-29-25,2025,June,7,113,A0040,HND,SYD,INT,NoShow,No,No,Japan,Philippines
08-11-25,2025,August,1,232,A0048,JFK,LHR,INT,Boarded,No,No,Indonesia,Thailand
05-17-25,2025,May,6,47,A0094,SYD,SIN,INT,Default,No,No,Philippines,Singapore
01-27-26,2026,January,2,190,A0347,SIN,PEN,INT,NoShow,No,No,Singapore,Malaysia
06-16-26,2026,June,2,130,A0440,SIN,CGK,INT,CheckedIn,No,No,Singapore,Indonesia
04-06-26,2026,April,1,220,A0427,SYD,PEN,INT,NoShow,Yes,No,Philippines,Malaysia
02-10-25,2025,February,1,45,A0202,HND,SIN,INT,Default,No,No,Japan,Singapore
04-21-25,2025,April,1,236,A0041,CGK,SYD,INT,CheckedIn,No,No,Indonesia,Philippines
09-26-25,2025,September,5,229,A0348,BKI,LHR,INT,CheckedIn,No,No,Malaysia,Thailand
12-18-25,2025,December,4,147,A0459,BKK,SYD,INT,Default,Yes,No,Thailand,Philippines
08-16-25,2025,August,6,61,A0058,PEN,SYD,INT,Boarded,No,No,Malaysia,Philippines
02-19-26,2026,February,4,104,A0341,SYD,KUL,INT,Boarded,Yes,No,Philippines,Malaysia
12-14-25,2025,December,7,6,A0225,JFK,CGK,INT,NoShow,No,No,Indonesia,Indonesia
05-07-25,2025,May,3,165,A0154,BKK,SYD,INT,Boarded,No,No,Thailand,Philippines
05-18-26,2026,May,1,94,A0190,BKK,CGK,INT,CheckedIn,No,No,Thailand,Indonesia
04-27-26,2026,April,1,89,A0434,BKK,LHR,INT,Boarded,No,No,Thailand,Thailand
08-01-25,2025,August,5,117,A0128,LHR,CGK,INT,CheckedIn,Yes,No,Thailand,Indonesia
12-31-25,2025,December,3,125,A0286,CGK,HND,INT,NoShow,No,No,Indonesia,Japan
08-18-25,2025,August,1,230,A0497,JFK,HND,INT,NoShow,No,Yes,Indonesia,Japan
08-21-25,2025,August,4,4,A0264,PEN,SIN,INT,Default,No,No,Malaysia,Singapore
03-15-26,2026,March,7,101,A0351,PEN,BKI,DOM,NoShow,No,No,Malaysia,Malaysia
02-02-26,2026,February,1,120,A0039,CGK,BKI,INT,Default,No,No,Indonesia,Malaysia
01-22-25,2025,January,3,236,A0039,CGK,BKI,INT,Default,No,No,Indonesia,Malaysia
03-01-26,2026,March,7,133,A0360,SIN,BKI,INT,CheckedIn,No,No,Singapore,Malaysia
03-20-26,2026,March,5,163,A0418,SIN,BKK,INT,NoShow,No,No,Singapore,Thailand
08-23-25,2025,August,6,83,A0157,LHR,JFK,INT,Boarded,No,No,Thailand,Indonesia
05-04-26,2026,May,1,67,A0279,BKK,LHR,INT,NoShow,No,No,Thailand,Thailand
01-27-26,2026,January,2,106,A0012,BKI,LHR,INT,Boarded,No,Yes,Malaysia,Thailand
06-18-26,2026,June,4,239,A0105,SIN,SYD,INT,NoShow,No,No,Singapore,Philippines
04-28-25,2025,April,1,104,A0468,JFK,BKI,INT,CheckedIn,No,No,Indonesia,Malaysia
04-22-25,2025,April,2,183,A0390,HND,CGK,INT,Default,Yes,No,Japan,Indonesia
01-11-25,2025,January,6,7,A0302,BKI,PEN,DOM,CheckedIn,No,No,Malaysia,Malaysia
12-25-25,2025,December,4,165,A0017,LHR,JFK,INT,Boarded,No,No,Thailand,Indonesia
10-04-25,2025,October,6,139,A0095,BKI,CGK,INT,NoShow,No,No,Malaysia,Indonesia
09-13-25,2025,September,6,21,A0347,SIN,PEN,INT,NoShow,No,No,Singapore,Malaysia
12-20-25,2025,December,6,99,A0247,BKK,SIN,INT,Boarded,No,No,Thailand,Singapore
09-30-25,2025,September,2,112,A0118,BKK,SYD,INT,NoShow,Yes,No,Thailand,Philippines
09-16-25,2025,September,2,141,A0286,CGK,HND,INT,Default,No,Yes,Indonesia,Japan
10-21-25,2025,October,2,77,A0035,SIN,CGK,INT,NoShow,No,No,Singapore,Indonesia
01-19-26,2026,January,1,49,A0418,SIN,BKK,INT,Default,No,No,Singapore,Thailand
04-29-26,2026,April,3,105,A0086,SYD,CGK,INT,CheckedIn,No,No,Philippines,Indonesia
03-10-25,2025,March,1,36,A0278,SYD,KUL,INT,CheckedIn,Yes,No,Philippines,Malaysia
05-14-26,2026,May,4,232,A0307,SIN,KUL,INT,Boarded,Yes,No,Singapore,Malaysia
10-08-25,2025,October,3,3,A0009,LHR,PEN,INT,Boarded,No,Yes,Thailand,Malaysia
10-21-25,2025,October,2,54,A0346,BKI,JFK,INT,Default,No,No,Malaysia,Indonesia
08-18-25,2025,August,1,2,A0408,JFK,PEN,INT,CheckedIn,No,No,Indonesia,Malaysia
07-12-25,2025,July,6,107,A0308,JFK,BKI,INT,NoShow,No,No,Indonesia,Malaysia
08-11-25,2025,August,1,216,A0461,BKK,KUL,INT,NoShow,Yes,No,Thailand,Malaysia
01-03-26,2026,January,6,117,A0234,CGK,SIN,INT,Boarded,Yes,No,Indonesia,Singapore
02-17-25,2025,February,1,125,A0123,LHR,SYD,INT,Boarded,No,No,Thailand,Philippines
11-08-25,2025,November,6,28,A0295,PEN,CGK,INT,CheckedIn,No,No,Malaysia,Indonesia
11-05-25,2025,November,3,74,A0218,KUL,LHR,INT,Default,Yes,No,Malaysia,Thailand
06-19-25,2025,June,4,106,A0257,LHR,CGK,INT,NoShow,No,No,Thailand,Indonesia
05-25-25,2025,May,7,26,A0176,BKI,LHR,INT,CheckedIn,No,No,Malaysia,Thailand
01-22-26,2026,January,4,26,A0324,SIN,JFK,INT,CheckedIn,No,No,Singapore,Indonesia
10-10-25,2025,October,5,185,A0148,HND,PEN,INT,NoShow,Yes,No,Japan,Malaysia
05-25-26,2026,May,1,93,A0020,KUL,JFK,INT,Default,No,No,Malaysia,Indonesia
08-22-25,2025,August,5,221,A0127,LHR,HND,INT,Boarded,No,No,Thailand,Japan
03-26-26,2026,March,4,0,A0142,KUL,BKK,INT,CheckedIn,No,No,Malaysia,Thailand
11-27-25,2025,November,4,95,A0244,CGK,JFK,INT,CheckedIn,No,No,Indonesia,Indonesia
01-10-26,2026,January,6,84,A0286,CGK,HND,INT,Default,Yes,Yes,Indonesia,Japan
06-08-26,2026,June,1,38,A0324,SIN,JFK,INT,Boarded,Yes,No,Singapore,Indonesia
11-17-25,2025,November,1,232,A0348,BKI,LHR,INT,CheckedIn,No,No,Malaysia,Thailand
10-11-25,2025,October,6,33,A0182,BKI,PEN,DOM,CheckedIn,Yes,No,Malaysia,Malaysia
06-29-25,2025,June,7,208,A0256,LHR,SIN,INT,CheckedIn,Yes,No,Thailand,Singapore
10-08-25,2025,October,3,207,A0178,JFK,HND,INT,Default,No,No,Indonesia,Japan
06-24-25,2025,June,2,52,A0119,HND,JFK,INT,CheckedIn,No,Yes,Japan,Indonesia
06-19-25,2025,June,4,74,A0268,BKI,BKK,INT,NoShow,No,No,Malaysia,Thailand
08-11-25,2025,August,1,85,A0395,JFK,BKK,INT,Boarded,No,No,Indonesia,Thailand
01-26-26,2026,January,1,99,A0298,KUL,SYD,INT,CheckedIn,No,No,Malaysia,Philippines
03-26-25,2025,March,3,106,A0315,BKI,SYD,INT,Default,No,No,Malaysia,Philippines
06-20-25,2025,June,5,176,A0379,LHR,BKK,INT,CheckedIn,No,No,Thailand,Thailand
06-19-26,2026,June,5,124,A0141,SIN,BKK,INT,Default,Yes,No,Singapore,Thailand
10-08-25,2025,October,3,170,A0058,PEN,SYD,INT,CheckedIn,No,No,Malaysia,Philippines
06-29-26,2026,June,1,134,A0012,BKI,LHR,INT,Default,No,No,Malaysia,Thailand
01-14-26,2026,January,3,124,A0004,HND,JFK,INT,Default,No,No,Japan,Indonesia
12-19-25,2025,December,5,136,A0376,HND,PEN,INT,CheckedIn,No,No,Japan,Malaysia
12-22-25,2025,December,1,162,A0033,PEN,JFK,INT,NoShow,No,No,Malaysia,Indonesia
10-23-25,2025,October,4,196,A0305,KUL,PEN,DOM,NoShow,No,No,Malaysia,Malaysia
05-23-25,2025,May,5,84,A0421,SYD,BKI,INT,NoShow,No,No,Philippines,Malaysia
06-12-26,2026,June,5,116,A0441,SYD,BKI,INT,Boarded,No,No,Philippines,Malaysia
06-11-26,2026,June,4,164,A0303,SYD,KUL,INT,NoShow,No,No,Philippines,Malaysia
02-15-25,2025,February,6,1,A0354,CGK,BKK,INT,NoShow,Yes,No,Indonesia,Thailand
01-05-25,2025,January,7,81,A0487,PEN,SYD,INT,Default,Yes,No,Malaysia,Philippines
10-05-25,2025,October,7,152,A0286,CGK,HND,INT,CheckedIn,No,No,Indonesia,Japan
02-06-26,2026,February,5,90,A0439,SIN,BKK,INT,Default,Yes,No,Singapore,Thailand
09-04-25,2025,September,4,234,A0129,HND,BKK,INT,Default,No,No,Japan,Thailand
06-08-26,2026,June,1,233,A0192,SYD,CGK,INT,Default,No,No,Philippines,Indonesia
02-10-26,2026,February,2,47,A0123,LHR,SYD,INT,NoShow,No,No,Thailand,Philippines
10-18-25,2025,October,6,129,A0095,BKI,CGK,INT,NoShow,No,No,Malaysia,Indonesia
05-30-26,2026,May,6,162,A0254,SYD,BKI,INT,CheckedIn,No,No,Philippines,Malaysia
04-10-26,2026,April,5,140,A0168,BKK,LHR,INT,Default,Yes,No,Thailand,Thailand
05-16-25,2025,May,5,89,A0493,LHR,BKI,INT,CheckedIn,No,No,Thailand,Malaysia
