IL_DepartureDate,IL_ArrivalDate,IL_DepartureStation,IL_ArrivalStation,InternationalDesc,LiftStatus,FlyThru,IsNTL,Day_of_Week_Departure,Day_of_Week_Arrival,DepartureCountry,ArrivalCountry,LegNumber,StartingPoint,EndingPoint,PaxCount
09-23-25,09-23-25,LHR,SYD,INT,1,No,No,2,2,Thailand,Philippines,A0187,LHR,SYD,152
09-23-25,09-23-25,LHR,SYD,INT,1,No,No,2,2,Thailand,Philippines,A0187,LHR,PEN,74
03-19-26,03-19-26,BKK,CGK,INT,1,Yes,No,4,4,Thailand,Indonesia,A0385,BKK,CGK,61
03-19-26,03-19-26,BKK,CGK,INT,1,Yes,No,4,4,Thailand,Indonesia,A0385,BKK,SYD,23
04-12-26,04-12-26,LHR,PEN,INT,1,No,No,7,7,Thailand,Malaysia,A0134,LHR,PEN,94
04-12-26,04-12-26,LHR,PEN,INT,1,No,No,7,7,Thailand,Malaysia,A0134,LHR,LHR,53
07-02-25,07-02-25,BKI,CGK,INT,3,Yes,No,3,3,Malaysia,Indonesia,A0263,BKI,CGK,1
07-02-25,07-02-25,BKI,CGK,INT,3,Yes,No,3,3,Malaysia,Indonesia,A0263,BKI,SYD,0
01-09-26,01-09-26,BKK,KUL,INT,1,No,No,5,5,Thailand,Malaysia,A0320,BKK,KUL,29
01-09-26,01-09-26,BKK,KUL,INT,1,No,No,5,5,Thailand,Malaysia,A0320,BKK,PEN,11
02-27-26,02-27-26,BKI,JFK,INT,1,No,No,5,5,Malaysia,Indonesia,A0344,BKI,JFK,94
02-27-26,02-27-26,BKI,JFK,INT,1,No,No,5,5,Malaysia,Indonesia,A0344,BKI,CGK,56
05-14-25,05-14-25,BKK,PEN,INT,0,Yes,No,3,3,Thailand,Malaysia,A0101,BKK,PEN,77
05-14-25,05-14-25,BKK,PEN,INT,0,Yes,No,3,3,Thailand,Malaysia,A0101,BKK,LHR,25
01-14-26,01-14-26,HND,BKI,INT,1,Yes,Yes,3,3,Japan,Malaysia,A0196,HND,BKI,131
01-14-26,01-14-26,HND,BKI,INT,1,Yes,Yes,3,3,Japan,Malaysia,A0196,HND,BKK,34
03-12-26,03-12-26,CGK,SIN,INT,2,Yes,No,4,4,Indonesia,Singapore,A0234,CGK,SIN,5
03-12-26,03-12-26,CGK,SIN,INT,2,Yes,No,4,4,Indonesia,Singapore,A0234,CGK,LHR,1
09-09-25,09-09-25,PEN,BKI,DOM,0,No,No,2,2,Malaysia,Malaysia,A0485,PEN,BKI,95
09-09-25,09-09-25,PEN,BKI,DOM,0,No,No,2,2,Malaysia,Malaysia,A0485,PEN,BKK,58
03-28-25,03-28-25,CGK,PEN,INT,3,Yes,Yes,5,5,Indonesia,Malaysia,A0328,CGK,PEN,128
03-28-25,03-28-25,CGK,PEN,INT,3,Yes,Yes,5,5,Indonesia,Malaysia,A0328,CGK,LHR,78
05-30-25,05-30-25,LHR,CGK,INT,0,Yes,No,5,5,Thailand,Indonesia,A0289,LHR,CGK,13
05-30-25,05-30-25,LHR,CGK,INT,0,Yes,No,5,5,Thailand,Indonesia,A0289,LHR,SYD,5
06-11-25,06-11-25,PEN,BKI,DOM,2,No,No,3,3,Malaysia,Malaysia,A0485,PEN,BKI,51
06-11-25,06-11-25,PEN,BKI,DOM,2,No,No,3,3,Malaysia,Malaysia,A0485,PEN,BKK,19
06-14-26,06-15-26,SYD,PEN,INT,1,Yes,No,7,1,Philippines,Malaysia,A0498,SYD,PEN,9
06-14-26,06-15-26,SYD,PEN,INT,1,Yes,No,7,1,Philippines,Malaysia,A0498,SYD,LHR,3
06-11-25,06-11-25,BKK,KUL,INT,1,No,No,3,3,Thailand,Malaysia,A0411,BKK,KUL,102
06-11-25,06-11-25,BKK,KUL,INT,1,No,No,3,3,Thailand,Malaysia,A0411,BKK,PEN,60
03-06-25,03-06-25,SIN,LHR,INT,2,No,No,4,4,Singapore,Thailand,A0079,SIN,LHR,16
03-06-25,03-06-25,SIN,LHR,INT,2,No,No,4,4,Singapore,Thailand,A0079,SIN,KUL,8
06-28-26,06-28-26,LHR,PEN,INT,3,No,Yes,7,7,Thailand,Malaysia,A0229,LHR,PEN,4
06-28-26,06-28-26,LHR,PEN,INT,3,No,Yes,7,7,Thailand,Malaysia,A0229,LHR,LHR,1
12-13-25,12-13-25,PEN,SIN,INT,0,No,No,6,6,Malaysia,Singapore,A0410,PEN,SIN,134
12-13-25,12-13-25,PEN,SIN,INT,0,No,No,6,6,Malaysia,Singapore,A0410,PEN,LHR,57
02-23-25,02-23-25,HND,JFK,INT,2,No,No,7,7,Japan,Indonesia,A0407,HND,JFK,79
02-23-25,02-23-25,HND,JFK,INT,2,No,No,7,7,Japan,Indonesia,A0407,HND,CGK,45
11-27-25,11-27-25,BKK,LHR,INT,0,No,No,4,4,Thailand,Thailand,A0072,BKK,LHR,91
11-27-25,11-27-25,BKK,LHR,INT,0,No,No,4,4,Thailand,Thailand,A0072,BKK,KUL,29
09-05-25,09-05-25,LHR,SYD,INT,1,No,No,5,5,Thailand,Philippines,A0123,LHR,SYD,65
09-05-25,09-05-25,LHR,SYD,INT,1,No,No,5,5,Thailand,Philippines,A0123,LHR,PEN,16
05-29-26,05-29-26,SYD,CGK,INT,3,No,No,5,5,Philippines,Indonesia,A0086,SYD,CGK,177
05-29-26,05-29-26,SYD,CGK,INT,3,No,No,5,5,Philippines,Indonesia,A0086,SYD,SYD,54
12-06-25,12-06-25,CGK,BKK,INT,0,No,No,6,6,Indonesia,Thailand,A0409,CGK,BKK,108
12-06-25,12-06-25,CGK,BKK,INT,0,No,No,6,6,Indonesia,Thailand,A0409,CGK,JFK,65
08-21-25,08-21-25,BKK,CGK,INT,2,Yes,No,4,4,Thailand,Indonesia,A0265,BKK,CGK,37
08-21-25,08-21-25,BKK,CGK,INT,2,Yes,No,4,4,Thailand,Indonesia,A0265,BKK,SYD,16
04-13-26,04-13-26,KUL,JFK,INT,3,No,No,1,1,Malaysia,Indonesia,A0287,KUL,JFK,32
04-13-26,04-13-26,KUL,JFK,INT,3,No,No,1,1,Malaysia,Indonesia,A0287,KUL,CGK,16
01-14-26,01-14-26,HND,LHR,INT,3,No,No,3,3,Japan,Thailand,A0454,HND,LHR,87
01-14-26,01-14-26,HND,LHR,INT,3,No,No,3,3,Japan,Thailand,A0454,HND,KUL,26
01-04-25,01-04-25,KUL,SYD,INT,0,No,No,6,6,Malaysia,Philippines,A0377,KUL,SYD,78
01-04-25,01-04-25,KUL,SYD,INT,0,No,No,6,6,Malaysia,Philippines,A0377,KUL,PEN,44
12-23-25,12-23-25,BKI,SYD,INT,0,No,No,2,2,Malaysia,Philippines,A0239,BKI,SYD,21
12-23-25,12-23-25,BKI,SYD,INT,0,No,No,2,2,Malaysia,Philippines,A0239,BKI,PEN,8
06-11-26,06-11-26,LHR,BKI,INT,1,No,No,4,4,Thailand,Malaysia,A0404,LHR,BKI,51
06-11-26,06-11-26,LHR,BKI,INT,1,No,No,4,4,Thailand,Malaysia,A0404,LHR,BKK,31
10-16-25,10-16-25,PEN,SIN,INT,3,No,Yes,4,4,Malaysia,Singapore,A0025,PEN,SIN,105
10-16-25,10-16-25,PEN,SIN,INT,3,No,Yes,4,4,Malaysia,Singapore,A0025,PEN,LHR,41
06-05-25,06-05-25,LHR,KUL,INT,2,Yes,No,4,4,Thailand,Malaysia,A0007,LHR,KUL,132
06-05-25,06-05-25,LHR,KUL,INT,2,Yes,No,4,4,Thailand,Malaysia,A0007,LHR,PEN,58
07-28-25,07-28-25,HND,JFK,INT,2,Yes,No,1,1,Japan,Indonesia,A0233,HND,JFK,73
07-28-25,07-28-25,HND,JFK,INT,2,Yes,No,1,1,Japan,Indonesia,A0233,HND,CGK,27
12-25-25,12-25-25,HND,CGK,INT,1,Yes,No,4,4,Japan,Indonesia,A0350,HND,CGK,97
12-25-25,12-25-25,HND,CGK,INT,1,Yes,No,4,4,Japan,Indonesia,A0350,HND,SYD,47
11-01-25,11-01-25,LHR,CGK,INT,1,Yes,No,6,6,Thailand,Indonesia,A0289,LHR,CGK,93
11-01-25,11-01-25,LHR,CGK,INT,1,Yes,No,6,6,Thailand,Indonesia,A0289,LHR,SYD,59
04-03-26,04-03-26,PEN,BKK,INT,0,No,No,5,5,Malaysia,Thailand,A0078,PEN,BKK,102
04-03-26,04-03-26,PEN,BKK,INT,0,No,No,5,5,Malaysia,Thailand,A0078,PEN,JFK,57
03-30-26,03-30-26,CGK,HND,INT,0,Yes,No,1,1,Indonesia,Japan,A0286,CGK,HND,166
03-30-26,03-30-26,CGK,HND,INT,0,Yes,No,1,1,Indonesia,Japan,A0286,CGK,BKK,67
09-06-25,09-06-25,CGK,PEN,INT,0,No,No,6,6,Indonesia,Malaysia,A0422,CGK,PEN,8
09-06-25,09-06-25,CGK,PEN,INT,0,No,No,6,6,Indonesia,Malaysia,A0422,CGK,LHR,3
05-26-26,05-26-26,SIN,CGK,INT,0,Yes,No,2,2,Singapore,Indonesia,A0496,SIN,CGK,40
05-26-26,05-26-26,SIN,CGK,INT,0,Yes,No,2,2,Singapore,Indonesia,A0496,SIN,SYD,25
10-25-25,10-25-25,LHR,JFK,INT,3,No,No,6,6,Thailand,Indonesia,A0392,LHR,JFK,83
10-25-25,10-25-25,LHR,JFK,INT,3,No,No,6,6,Thailand,Indonesia,A0392,LHR,CGK,50
08-04-25,08-04-25,PEN,SYD,INT,2,No,No,1,1,Malaysia,Philippines,A0487,PEN,SYD,93
08-04-25,08-04-25,PEN,SYD,INT,2,No,No,1,1,Malaysia,Philippines,A0487,PEN,PEN,53
01-01-26,01-01-26,LHR,HND,INT,1,No,No,4,4,Thailand,Japan,A0175,LHR,HND,96
01-01-26,01-01-26,LHR,HND,INT,1,No,No,4,4,Thailand,Japan,A0175,LHR,BKK,35
03-12-26,03-12-26,BKK,SIN,INT,0,No,No,4,4,Thailand,Singapore,A0163,BKK,SIN,57
03-12-26,03-12-26,BKK,SIN,INT,0,No,No,4,4,Thailand,Singapore,A0163,BKK,LHR,19
02-19-25,02-19-25,BKI,HND,INT,0,No,No,3,3,Malaysia,Japan,A0029,BKI,HND,78
02-19-25,02-19-25,BKI,HND,INT,0,No,No,3,3,Malaysia,Japan,A0029,BKI,BKK,24
11-28-25,11-28-25,PEN,SYD,INT,2,No,No,5,5,Malaysia,Philippines,A0058,PEN,SYD,113
11-28-25,11-28-25,PEN,SYD,INT,2,No,No,5,5,Malaysia,Philippines,A0058,PEN,PEN,35
02-22-25,02-22-25,BKK,BKI,INT,2,Yes,Yes,6,6,Thailand,Malaysia,A0447,BKK,BKI,122
02-22-25,02-22-25,BKK,BKI,INT,2,Yes,Yes,6,6,Thailand,Malaysia,A0447,BKK,BKK,32
03-20-25,03-20-25,KUL,SIN,INT,1,Yes,No,4,4,Malaysia,Singapore,A0238,KUL,SIN,10
03-20-25,03-20-25,KUL,SIN,INT,1,Yes,No,4,4,Malaysia,Singapore,A0238,KUL,LHR,5
03-27-25,03-27-25,LHR,JFK,INT,1,No,No,4,4,Thailand,Indonesia,A0017,LHR,JFK,14
03-27-25,03-27-25,LHR,JFK,INT,1,No,No,4,4,Thailand,Indonesia,A0017,LHR,CGK,4
09-13-25,09-13-25,BKK,SIN,INT,3,Yes,No,6,6,Thailand,Singapore,A0291,BKK,SIN,92
09-13-25,09-13-25,BKK,SIN,INT,3,Yes,No,6,6,Thailand,Singapore,A0291,BKK,LHR,34
07-27-25,07-27-25,SYD,LHR,INT,3,No,No,7,7,Philippines,Thailand,A0296,SYD,LHR,102
07-27-25,07-27-25,SYD,LHR,INT,3,No,No,7,7,Philippines,Thailand,A0296,SYD,KUL,67
06-12-26,06-12-26,CGK,SYD,INT,0,No,No,5,5,Indonesia,Philippines,A0041,CGK,SYD,97
06-12-26,06-12-26,CGK,SYD,INT,0,No,No,5,5,Indonesia,Philippines,A0041,CGK,PEN,60
10-01-25,10-01-25,SYD,SIN,INT,3,No,No,3,3,Philippines,Singapore,A0478,SYD,SIN,12
10-01-25,10-01-25,SYD,SIN,INT,3,No,No,3,3,Philippines,Singapore,A0478,SYD,LHR,3
04-25-25,04-25-25,JFK,LHR,INT,2,No,No,5,5,Indonesia,Thailand,A0022,JFK,LHR,66
04-25-25,04-25-25,JFK,LHR,INT,2,No,No,5,5,Indonesia,Thailand,A0022,JFK,KUL,20
01-30-25,01-30-25,SYD,BKK,INT,3,No,No,4,4,Philippines,Thailand,A0111,SYD,BKK,30
01-30-25,01-30-25,SYD,BKK,INT,3,No,No,4,4,Philippines,Thailand,A0111,SYD,JFK,10
02-10-26,02-10-26,BKI,CGK,INT,2,No,No,2,2,Malaysia,Indonesia,A0095,BKI,CGK,70
02-10-26,02-10-26,BKI,CGK,INT,2,No,No,2,2,Malaysia,Indonesia,A0095,BKI,SYD,39
10-30-25,10-30-25,LHR,KUL,INT,2,No,No,4,4,Thailand,Malaysia,A0358,LHR,KUL,89
10-30-25,10-30-25,LHR,KUL,INT,2,No,No,4,4,Thailand,Malaysia,A0358,LHR,PEN,27
10-10-25,10-10-25,PEN,SIN,INT,2,No,No,5,5,Malaysia,Singapore,A0180,PEN,SIN,40
10-10-25,10-10-25,PEN,SIN,INT,2,No,No,5,5,Malaysia,Singapore,A0180,PEN,LHR,20
02-05-25,02-05-25,JFK,BKI,INT,2,No,No,3,3,Indonesia,Malaysia,A0087,JFK,BKI,65
02-05-25,02-05-25,JFK,BKI,INT,2,No,No,3,3,Indonesia,Malaysia,A0087,JFK,BKK,25
05-10-25,05-10-25,PEN,BKK,INT,1,No,No,6,6,Malaysia,Thailand,A0467,PEN,BKK,33
05-10-25,05-10-25,PEN,BKK,INT,1,No,No,6,6,Malaysia,Thailand,A0467,PEN,JFK,12
08-14-25,08-14-25,SIN,CGK,INT,3,No,No,4,4,Singapore,Indonesia,A0496,SIN,CGK,149
08-14-25,08-14-25,SIN,CGK,INT,3,No,No,4,4,Singapore,Indonesia,A0496,SIN,SYD,63
12-20-25,12-20-25,KUL,LHR,INT,0,Yes,Yes,6,6,Malaysia,Thailand,A0339,KUL,LHR,73
12-20-25,12-20-25,KUL,LHR,INT,0,Yes,Yes,6,6,Malaysia,Thailand,A0339,KUL,KUL,39
10-10-25,10-10-25,PEN,BKI,DOM,2,No,No,5,5,Malaysia,Malaysia,A0351,PEN,BKI,92
10-10-25,10-10-25,PEN,BKI,DOM,2,No,No,5,5,Malaysia,Malaysia,A0351,PEN,BKK,34
09-24-25,09-24-25,JFK,PEN,INT,2,No,No,3,3,Indonesia,Malaysia,A0184,JFK,PEN,126
09-24-25,09-24-25,JFK,PEN,INT,2,No,No,3,3,Indonesia,Malaysia,A0184,JFK,LHR,38
02-17-26,02-17-26,PEN,BKI,DOM,1,No,No,2,2,Malaysia,Malaysia,A0269,PEN,BKI,112
02-17-26,02-17-26,PEN,BKI,DOM,1,No,No,2,2,Malaysia,Malaysia,A0269,PEN,BKK,70
01-23-25,01-23-25,SYD,KUL,INT,2,No,No,4,4,Philippines,Malaysia,A0374,SYD,KUL,112
01-23-25,01-23-25,SYD,KUL,INT,2,No,No,4,4,Philippines,Malaysia,A0374,SYD,PEN,32
06-06-26,06-06-26,BKI,PEN,DOM,1,No,No,6,6,Malaysia,Malaysia,A0177,BKI,PEN,59
06-06-26,06-06-26,BKI,PEN,DOM,1,No,No,6,6,Malaysia,Malaysia,A0177,BKI,LHR,24
06-14-25,06-14-25,KUL,JFK,INT,1,No,No,6,6,Malaysia,Indonesia,A0011,KUL,JFK,4
06-14-25,06-14-25,KUL,JFK,INT,1,No,No,6,6,Malaysia,Indonesia,A0011,KUL,CGK,1
05-27-26,05-27-26,SYD,BKK,INT,0,No,No,3,3,Philippines,Thailand,A0111,SYD,BKK,46
05-27-26,05-27-26,SYD,BKK,INT,0,No,No,3,3,Philippines,Thailand,A0111,SYD,JFK,16
07-27-25,07-27-25,LHR,SYD,INT,2,Yes,Yes,7,7,Thailand,Philippines,A0355,LHR,SYD,94
07-27-25,07-27-25,LHR,SYD,INT,2,Yes,Yes,7,7,Thailand,Philippines,A0355,LHR,PEN,54
03-07-26,03-07-26,LHR,PEN,INT,0,Yes,No,6,6,Thailand,Malaysia,A0134,LHR,PEN,132
03-07-26,03-07-26,LHR,PEN,INT,0,Yes,No,6,6,Thailand,Malaysia,A0134,LHR,LHR,51
05-13-25,05-13-25,JFK,HND,INT,0,No,Yes,2,2,Indonesia,Japan,A0497,JFK,HND,24
05-13-25,05-13-25,JFK,HND,INT,0,No,Yes,2,2,Indonesia,Japan,A0497,JFK,BKK,7
09-08-25,09-08-25,SYD,KUL,INT,3,No,No,1,1,Philippines,Malaysia,A0213,SYD,KUL,31
09-08-25,09-08-25,SYD,KUL,INT,3,No,No,1,1,Philippines,Malaysia,A0213,SYD,PEN,17
05-03-26,05-03-26,HND,PEN,INT,1,No,No,7,7,Japan,Malaysia,A0148,HND,PEN,39
05-03-26,05-03-26,HND,PEN,INT,1,No,No,7,7,Japan,Malaysia,A0148,HND,LHR,11
06-06-26,06-06-26,LHR,HND,INT,3,Yes,No,6,6,Thailand,Japan,A0211,LHR,HND,38
06-06-26,06-06-26,LHR,HND,INT,3,Yes,No,6,6,Thailand,Japan,A0211,LHR,BKK,17
03-28-26,03-28-26,SIN,HND,INT,0,No,No,6,6,Singapore,Japan,A0366,SIN,HND,171
03-28-26,03-28-26,SIN,HND,INT,0,No,No,6,6,Singapore,Japan,A0366,SIN,BKK,48
01-01-25,01-01-25,BKI,HND,INT,1,No,No,3,3,Malaysia,Japan,A0088,BKI,HND,110
01-01-25,01-01-25,BKI,HND,INT,1,No,No,3,3,Malaysia,Japan,A0088,BKI,BKK,60
06-28-26,06-28-26,JFK,KUL,INT,0,Yes,No,7,7,Indonesia,Malaysia,A0275,JFK,KUL,32
06-28-26,06-28-26,JFK,KUL,INT,0,Yes,No,7,7,Indonesia,Malaysia,A0275,JFK,PEN,9
04-22-26,04-22-26,CGK,SYD,INT,0,No,No,3,3,Indonesia,Philippines,A0041,CGK,SYD,45
04-22-26,04-22-26,CGK,SYD,INT,0,No,No,3,3,Indonesia,Philippines,A0041,CGK,PEN,20
07-26-25,07-26-25,BKI,SYD,INT,2,Yes,No,6,6,Malaysia,Philippines,A0080,BKI,SYD,76
07-26-25,07-26-25,BKI,SYD,INT,2,Yes,No,6,6,Malaysia,Philippines,A0080,BKI,PEN,42
03-09-25,03-09-25,SIN,JFK,INT,0,No,No,7,7,Singapore,Indonesia,A0324,SIN,JFK,2
03-09-25,03-09-25,SIN,JFK,INT,0,No,No,7,7,Singapore,Indonesia,A0324,SIN,CGK,1
01-28-25,01-28-25,SYD,SIN,INT,1,No,No,2,2,Philippines,Singapore,A0112,SYD,SIN,179
01-28-25,01-28-25,SYD,SIN,INT,1,No,No,2,2,Philippines,Singapore,A0112,SYD,LHR,53
06-09-25,06-09-25,PEN,BKI,DOM,2,No,No,1,1,Malaysia,Malaysia,A0361,PEN,BKI,12
06-09-25,06-09-25,PEN,BKI,DOM,2,No,No,1,1,Malaysia,Malaysia,A0361,PEN,BKK,3
