IL_DepartureDate,IL_ArrivalDate,Day_of_Week_Departure,Day_of_Week_Arrival,LegNumber,IL_DepartureStation,IL_ArrivalStation,InternationalDesc,LiftStatus,FlyThru,IsNTL,Jan_Dep,Jan_Arr,Feb_Dep,Feb_Arr,Mar_Dep,Mar_Arr,Apr_Dep,Apr_Arr,May_Dep,May_Arr,Jun_Dep,Jun_Arr,Jul_Dep,Jul_Arr,Aug_Dep,Aug_Arr,Sep_Dep,Sep_Arr,Oct_Dep,Oct_Arr,Nov_Dep,Nov_Arr,Dec_Dep,Dec_Arr,TotalDepPax,TotalArrPax,DepartureCountry,ArrivalCountry
01-07-25,01-07-25,2,2,A0379,LHR,BKK,INT,1,Yes,No,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,Thailand,Thailand
02-01-25,02-01-25,6,6,A0270,KUL,SYD,INT,2,Yes,No,0,0,124,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,124,Malaysia,Philippines
05-17-25,05-17-25,6,6,A0445,KUL,CGK,INT,0,No,No,0,0,0,0,0,0,0,0,189,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,189,Malaysia,Indonesia
04-26-26,04-26-26,7,7,A0227,SIN,LHR,INT,0,No,No,0,0,0,0,0,0,210,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,210,Singapore,Thailand
05-24-26,05-24-26,7,7,A0426,KUL,SYD,INT,1,No,No,0,0,0,0,0,0,0,0,117,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,117,Malaysia,Philippines
11-22-25,11-22-25,6,6,A0364,KUL,SIN,INT,0,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0,0,36,36,Malaysia,Singapore
06-21-26,06-21-26,7,7,A0225,JFK,CGK,INT,1,No,Yes,0,0,0,0,0,0,0,0,0,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,56,56,Indonesia,Indonesia
09-18-25,09-18-25,4,4,A0011,KUL,JFK,INT,0,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,230,0,0,0,0,0,0,230,230,Malaysia,Indonesia
03-15-26,03-15-26,7,7,A0270,KUL,SYD,INT,0,Yes,No,0,0,0,0,96,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,96,Malaysia,Philippines
10-06-25,10-06-25,1,1,A0105,SIN,SYD,INT,0,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,157,0,0,0,0,157,157,Singapore,Philippines
04-29-26,04-29-26,3,3,A0184,JFK,PEN,INT,3,Yes,No,0,0,0,0,0,0,220,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,220,Indonesia,Malaysia
05-24-26,05-24-26,7,7,A0237,BKI,KUL,DOM,0,Yes,No,0,0,0,0,0,0,0,0,118,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118,Malaysia,Malaysia
05-09-25,05-09-25,5,5,A0397,KUL,PEN,DOM,3,No,No,0,0,0,0,0,0,0,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98,Malaysia,Malaysia
09-23-25,09-23-25,2,2,A0187,LHR,SYD,INT,1,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,226,0,0,0,0,0,0,226,226,Thailand,Philippines
03-19-26,03-19-26,4,4,A0385,BKK,CGK,INT,1,Yes,No,0,0,0,0,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,Thailand,Indonesia
04-12-26,04-12-26,7,7,A0134,LHR,PEN,INT,1,No,No,0,0,0,0,0,0,147,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,147,Thailand,Malaysia
07-02-25,07-02-25,3,3,A0263,BKI,CGK,INT,3,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,Malaysia,Indonesia
01-09-26,01-09-26,5,5,A0320,BKK,KUL,INT,1,No,No,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,Thailand,Malaysia
02-27-26,02-27-26,5,5,A0344,BKI,JFK,INT,1,No,No,0,0,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,Malaysia,Indonesia
05-14-25,05-14-25,3,3,A0101,BKK,PEN,INT,0,Yes,No,0,0,0,0,0,0,0,0,102,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,102,Thailand,Malaysia
01-14-26,01-14-26,3,3,A0196,HND,BKI,INT,1,Yes,Yes,165,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,165,Japan,Malaysia
03-12-26,03-12-26,4,4,A0234,CGK,SIN,INT,2,Yes,No,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,Indonesia,Singapore
09-09-25,09-09-25,2,2,A0485,PEN,BKI,DOM,0,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,153,0,0,0,0,0,0,153,153,Malaysia,Malaysia
03-28-25,03-28-25,5,5,A0328,CGK,PEN,INT,3,Yes,Yes,0,0,0,0,206,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,206,Indonesia,Malaysia
05-30-25,05-30-25,5,5,A0289,LHR,CGK,INT,0,Yes,No,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,Thailand,Indonesia
06-11-25,06-11-25,3,3,A0485,PEN,BKI,DOM,2,No,No,0,0,0,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,70,70,Malaysia,Malaysia
06-14-26,06-15-26,7,1,A0498,SYD,PEN,INT,1,Yes,No,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,12,12,Philippines,Malaysia
06-11-25,06-11-25,3,3,A0411,BKK,KUL,INT,1,No,No,0,0,0,0,0,0,0,0,0,0,162,162,0,0,0,0,0,0,0,0,0,0,0,0,162,162,Thailand,Malaysia
03-06-25,03-06-25,4,4,A0079,SIN,LHR,INT,2,No,No,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,Singapore,Thailand
06-28-26,06-28-26,7,7,A0229,LHR,PEN,INT,3,No,Yes,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,Thailand,Malaysia
12-13-25,12-13-25,6,6,A0410,PEN,SIN,INT,0,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,191,191,191,Malaysia,Singapore
02-23-25,02-23-25,7,7,A0407,HND,JFK,INT,2,No,No,0,0,124,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,124,Japan,Indonesia
11-27-25,11-27-25,4,4,A0072,BKK,LHR,INT,0,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,0,0,120,120,Thailand,Thailand
09-05-25,09-05-25,5,5,A0123,LHR,SYD,INT,1,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,81,0,0,0,0,0,0,81,81,Thailand,Philippines
05-29-26,05-29-26,5,5,A0086,SYD,CGK,INT,3,No,No,0,0,0,0,0,0,0,0,231,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,231,Philippines,Indonesia
12-06-25,12-06-25,6,6,A0409,CGK,BKK,INT,0,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,173,173,173,Indonesia,Thailand
08-21-25,08-21-25,4,4,A0265,BKK,CGK,INT,2,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53,0,0,0,0,0,0,0,0,53,53,Thailand,Indonesia
04-13-26,04-13-26,1,1,A0287,KUL,JFK,INT,3,No,No,0,0,0,0,0,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,Malaysia,Indonesia
01-14-26,01-14-26,3,3,A0454,HND,LHR,INT,3,No,No,113,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,113,Japan,Thailand
01-04-25,01-04-25,6,6,A0377,KUL,SYD,INT,0,No,No,122,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,122,Malaysia,Philippines
12-23-25,12-23-25,2,2,A0239,BKI,SYD,INT,0,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,29,29,Malaysia,Philippines
06-11-26,06-11-26,4,4,A0404,LHR,BKI,INT,1,No,No,0,0,0,0,0,0,0,0,0,0,82,82,0,0,0,0,0,0,0,0,0,0,0,0,82,82,Thailand,Malaysia
10-16-25,10-16-25,4,4,A0025,PEN,SIN,INT,3,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,146,0,0,0,0,146,146,Malaysia,Singapore
06-05-25,06-05-25,4,4,A0007,LHR,KUL,INT,2,Yes,No,0,0,0,0,0,0,0,0,0,0,190,190,0,0,0,0,0,0,0,0,0,0,0,0,190,190,Thailand,Malaysia
07-28-25,07-28-25,1,1,A0233,HND,JFK,INT,2,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,100,100,Japan,Indonesia
12-25-25,12-25-25,4,4,A0350,HND,CGK,INT,1,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,144,144,144,Japan,Indonesia
11-01-25,11-01-25,6,6,A0289,LHR,CGK,INT,1,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,152,0,0,152,152,Thailand,Indonesia
04-03-26,04-03-26,5,5,A0078,PEN,BKK,INT,0,No,No,0,0,0,0,0,0,159,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,159,Malaysia,Thailand
03-30-26,03-30-26,1,1,A0286,CGK,HND,INT,0,Yes,No,0,0,0,0,233,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,233,Indonesia,Japan
09-06-25,09-06-25,6,6,A0422,CGK,PEN,INT,0,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,11,11,Indonesia,Malaysia
05-26-26,05-26-26,2,2,A0496,SIN,CGK,INT,0,Yes,No,0,0,0,0,0,0,0,0,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,Singapore,Indonesia
10-25-25,10-25-25,6,6,A0392,LHR,JFK,INT,3,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,133,0,0,0,0,133,133,Thailand,Indonesia
08-04-25,08-04-25,1,1,A0487,PEN,SYD,INT,2,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,146,0,0,0,0,0,0,0,0,146,146,Malaysia,Philippines
01-01-26,01-01-26,4,4,A0175,LHR,HND,INT,1,No,No,131,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,131,Thailand,Japan
03-12-26,03-12-26,4,4,A0163,BKK,SIN,INT,0,No,No,0,0,0,0,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,76,Thailand,Singapore
02-19-25,02-19-25,3,3,A0029,BKI,HND,INT,0,No,No,0,0,102,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,102,Malaysia,Japan
11-28-25,11-28-25,5,5,A0058,PEN,SYD,INT,2,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,148,0,0,148,148,Malaysia,Philippines
02-22-25,02-22-25,6,6,A0447,BKK,BKI,INT,2,Yes,Yes,0,0,154,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,154,Thailand,Malaysia
03-20-25,03-20-25,4,4,A0238,KUL,SIN,INT,1,Yes,No,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,Malaysia,Singapore
03-27-25,03-27-25,4,4,A0017,LHR,JFK,INT,1,No,No,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,Thailand,Indonesia
09-13-25,09-13-25,6,6,A0291,BKK,SIN,INT,3,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,126,0,0,0,0,0,0,126,126,Thailand,Singapore
07-27-25,07-27-25,7,7,A0296,SYD,LHR,INT,3,No,No,0,0,0,0,0,0,0,0,0,0,0,0,169,169,0,0,0,0,0,0,0,0,0,0,169,169,Philippines,Thailand
06-12-26,06-12-26,5,5,A0041,CGK,SYD,INT,0,No,No,0,0,0,0,0,0,0,0,0,0,157,157,0,0,0,0,0,0,0,0,0,0,0,0,157,157,Indonesia,Philippines
10-01-25,10-01-25,3,3,A0478,SYD,SIN,INT,3,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,15,15,Philippines,Singapore
04-25-25,04-25-25,5,5,A0022,JFK,LHR,INT,2,No,No,0,0,0,0,0,0,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,Indonesia,Thailand
01-30-25,01-30-25,4,4,A0111,SYD,BKK,INT,3,No,No,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,Philippines,Thailand
02-10-26,02-10-26,2,2,A0095,BKI,CGK,INT,2,No,No,0,0,109,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,109,Malaysia,Indonesia
10-30-25,10-30-25,4,4,A0358,LHR,KUL,INT,2,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,116,0,0,0,0,116,116,Thailand,Malaysia
10-10-25,10-10-25,5,5,A0180,PEN,SIN,INT,2,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,0,0,0,60,60,Malaysia,Singapore
02-05-25,02-05-25,3,3,A0087,JFK,BKI,INT,2,No,No,0,0,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,Indonesia,Malaysia
05-10-25,05-10-25,6,6,A0467,PEN,BKK,INT,1,No,No,0,0,0,0,0,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,Malaysia,Thailand
08-14-25,08-14-25,4,4,A0496,SIN,CGK,INT,3,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,212,0,0,0,0,0,0,0,0,212,212,Singapore,Indonesia
12-20-25,12-20-25,6,6,A0339,KUL,LHR,INT,0,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,112,112,112,Malaysia,Thailand
10-10-25,10-10-25,5,5,A0351,PEN,BKI,DOM,2,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,126,0,0,0,0,126,126,Malaysia,Malaysia
09-24-25,09-24-25,3,3,A0184,JFK,PEN,INT,2,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,164,0,0,0,0,0,0,164,164,Indonesia,Malaysia
02-17-26,02-17-26,2,2,A0269,PEN,BKI,DOM,1,No,No,0,0,182,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,182,Malaysia,Malaysia
01-23-25,01-23-25,4,4,A0374,SYD,KUL,INT,2,No,No,144,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,144,Philippines,Malaysia
06-06-26,06-06-26,6,6,A0177,BKI,PEN,DOM,1,No,No,0,0,0,0,0,0,0,0,0,0,83,83,0,0,0,0,0,0,0,0,0,0,0,0,83,83,Malaysia,Malaysia
06-14-25,06-14-25,6,6,A0011,KUL,JFK,INT,1,No,No,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,Malaysia,Indonesia
05-27-26,05-27-26,3,3,A0111,SYD,BKK,INT,0,No,No,0,0,0,0,0,0,0,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,Philippines,Thailand
07-27-25,07-27-25,7,7,A0355,LHR,SYD,INT,2,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,148,148,0,0,0,0,0,0,0,0,0,0,148,148,Thailand,Philippines
03-07-26,03-07-26,6,6,A0134,LHR,PEN,INT,0,Yes,No,0,0,0,0,183,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,183,Thailand,Malaysia
05-13-25,05-13-25,2,2,A0497,JFK,HND,INT,0,No,Yes,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,Indonesia,Japan
09-08-25,09-08-25,1,1,A0213,SYD,KUL,INT,3,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,0,0,0,0,0,0,48,48,Philippines,Malaysia
05-03-26,05-03-26,7,7,A0148,HND,PEN,INT,1,No,No,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,Japan,Malaysia
06-06-26,06-06-26,6,6,A0211,LHR,HND,INT,3,Yes,No,0,0,0,0,0,0,0,0,0,0,55,55,0,0,0,0,0,0,0,0,0,0,0,0,55,55,Thailand,Japan
03-28-26,03-28-26,6,6,A0366,SIN,HND,INT,0,No,No,0,0,0,0,219,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,219,Singapore,Japan
01-01-25,01-01-25,3,3,A0088,BKI,HND,INT,1,No,No,170,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,170,Malaysia,Japan
06-28-26,06-28-26,7,7,A0275,JFK,KUL,INT,0,Yes,No,0,0,0,0,0,0,0,0,0,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,41,41,Indonesia,Malaysia
04-22-26,04-22-26,3,3,A0041,CGK,SYD,INT,0,No,No,0,0,0,0,0,0,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,Indonesia,Philippines
07-26-25,07-26-25,6,6,A0080,BKI,SYD,INT,2,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,118,118,0,0,0,0,0,0,0,0,0,0,118,118,Malaysia,Philippines
03-09-25,03-09-25,7,7,A0324,SIN,JFK,INT,0,No,No,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,Singapore,Indonesia
01-28-25,01-28-25,2,2,A0112,SYD,SIN,INT,1,No,No,232,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,232,Philippines,Singapore
06-09-25,06-09-25,1,1,A0361,PEN,BKI,DOM,2,No,No,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,15,15,Malaysia,Malaysia
03-14-25,03-14-25,5,5,A0029,BKI,HND,INT,3,No,No,0,0,0,0,137,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,137,Malaysia,Japan
05-12-25,05-12-25,1,1,A0125,PEN,BKI,DOM,2,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malaysia,Malaysia
07-23-25,07-24-25,3,4,A0242,SIN,BKI,INT,1,No,No,0,0,0,0,0,0,0,0,0,0,0,0,49,49,0,0,0,0,0,0,0,0,0,0,49,49,Singapore,Malaysia
07-10-25,07-10-25,4,4,A0200,SYD,BKK,INT,0,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0,0,0,0,0,0,31,31,Philippines,Thailand
03-07-25,03-07-25,5,5,A0012,BKI,LHR,INT,0,No,No,0,0,0,0,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,72,Malaysia,Thailand
12-08-25,12-08-25,1,1,A0331,SIN,BKI,INT,3,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,115,115,115,Singapore,Malaysia
07-20-25,07-20-25,7,7,A0043,LHR,PEN,INT,2,No,No,0,0,0,0,0,0,0,0,0,0,0,0,125,125,0,0,0,0,0,0,0,0,0,0,125,125,Thailand,Malaysia
02-09-26,02-09-26,1,1,A0387,JFK,KUL,INT,1,No,No,0,0,183,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,183,Indonesia,Malaysia
06-19-26,06-19-26,5,5,A0349,BKK,SIN,INT,0,No,No,0,0,0,0,0,0,0,0,0,0,76,76,0,0,0,0,0,0,0,0,0,0,0,0,76,76,Thailand,Singapore
02-13-25,02-13-25,4,4,A0077,HND,KUL,INT,0,No,No,0,0,126,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,126,Japan,Malaysia
06-22-26,06-22-26,1,1,A0326,SYD,HND,INT,2,No,No,0,0,0,0,0,0,0,0,0,0,63,63,0,0,0,0,0,0,0,0,0,0,0,0,63,63,Philippines,Japan
05-17-26,05-18-26,7,1,A0302,BKI,PEN,DOM,1,Yes,No,0,0,0,0,0,0,0,0,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,196,Malaysia,Malaysia
04-16-26,04-16-26,4,4,A0365,PEN,HND,INT,1,Yes,No,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,Malaysia,Japan
12-01-25,12-01-25,1,1,A0145,BKI,HND,INT,0,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,153,153,153,Malaysia,Japan
03-10-25,03-10-25,1,1,A0231,SYD,BKK,INT,0,No,No,0,0,0,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,Philippines,Thailand
